date,close,open,high,low,volume
18-Jan-2016,1138.83,1131.00,1145.95,1130.00,2210000
19-Jan-2016,1139.65,1138.50,1150.00,1134.15,967000000
20-Jan-2016,1140.05,1136.90,1142.50,1121.50,1620000
21-Jan-2016,1127.25,1142.50,1144.95,1122.88,2680000
22-Jan-2016,1147.88,1136.50,1151.03,1130.00,1340000
25-Jan-2016,1152.33,1150.95,1169.50,1145.75,1400000
27-Jan-2016,1159.88,1151.00,1164.97,1140.95,1630000
28-Jan-2016,1165.60,1157.75,1174.45,1154.03,3110000
29-Jan-2016,1195.65,1179.35,1200.00,1167.53,2240000
1-Feb-2016,1201.35,1195.55,1206.47,1179.50,1500000
2-Feb-2016,1199.05,1204.50,1216.50,1189.85,1480000
3-Feb-2016,1208.15,1193.75,1214.95,1180.15,1310000
4-Feb-2016,1210.03,1210.95,1220.00,1201.00,1250000
5-Feb-2016,1210.97,1204.05,1219.97,1204.05,1400000
8-Feb-2016,1181.47,1200.00,1206.03,1173.50,1060000
9-Feb-2016,1140.70,1166.80,1166.80,1127.80,2490000
10-Feb-2016,1134.40,1137.50,1144.95,1129.05,1890000
11-Feb-2016,1098.97,1140.00,1144.50,1085.83,1960000
12-Feb-2016,1113.30,1100.00,1121.70,1082.00,2170000
15-Feb-2016,1134.58,1125.00,1153.42,1120.00,2480000
16-Feb-2016,1132.78,1133.00,1141.00,1121.50,1590000
17-Feb-2016,1137.78,1132.50,1139.83,1123.20,1590000
18-Feb-2016,1157.92,1142.50,1159.88,1139.00,1530000
19-Feb-2016,1159.83,1153.67,1163.50,1152.72,879000000
22-Feb-2016,1157.95,1160.12,1171.50,1152.50,1320000
23-Feb-2016,1132.00,1155.12,1159.95,1128.38,1310000
24-Feb-2016,1105.47,1131.22,1131.22,1100.60,1660000
25-Feb-2016,1106.42,1109.90,1114.00,1092.83,1830000
26-Feb-2016,1105.25,1114.85,1128.45,1099.80,1540000
29-Feb-2016,1088.40,1118.50,1118.50,1057.50,2190000
1-Mar-2016,1138.33,1096.50,1142.55,1081.00,2000000
2-Mar-2016,1159.42,1152.50,1165.00,1128.12,1530000
3-Mar-2016,1186.58,1168.00,1195.50,1150.50,2650000
4-Mar-2016,1178.78,1190.00,1190.00,1174.78,1510000
8-Mar-2016,1177.15,1171.05,1183.50,1152.10,1270000
9-Mar-2016,1178.62,1170.50,1184.70,1147.58,2020000
10-Mar-2016,1174.15,1178.03,1179.92,1157.47,1660000
11-Mar-2016,1182.62,1170.00,1195.42,1167.50,1530000
14-Mar-2016,1177.50,1181.00,1199.00,1170.00,1640000
15-Mar-2016,1164.95,1174.53,1181.75,1160.05,1620000
16-Mar-2016,1163.53,1157.50,1166.00,1153.45,1920000
17-Mar-2016,1176.03,1167.00,1180.90,1166.00,2220000
18-Mar-2016,1212.92,1180.00,1215.00,1180.00,3200000
21-Mar-2016,1223.12,1213.00,1227.47,1210.00,2340000
22-Mar-2016,1236.55,1221.00,1242.50,1218.25,1950000
23-Mar-2016,1236.90,1243.95,1243.95,1228.65,2280000
28-Mar-2016,1236.70,1245.50,1258.58,1230.78,3320000
29-Mar-2016,1234.70,1239.00,1243.47,1227.50,1840000
30-Mar-2016,1244.75,1235.45,1252.50,1230.00,2140000
31-Mar-2016,1260.15,1239.15,1275.00,1236.08,4360000
1-Apr-2016,1226.95,1252.50,1260.42,1217.05,3040000
4-Apr-2016,1235.62,1228.00,1244.00,1223.50,1750000
5-Apr-2016,1231.38,1235.40,1242.45,1221.03,1490000
6-Apr-2016,1240.95,1235.00,1244.50,1229.67,1760000
7-Apr-2016,1235.40,1240.00,1242.35,1228.50,2390000
8-Apr-2016,1216.03,1233.00,1236.85,1213.50,1400000
11-Apr-2016,1253.33,1216.50,1258.50,1206.50,2400000
12-Apr-2016,1259.08,1249.00,1262.50,1244.05,1300000
13-Apr-2016,1263.10,1265.00,1272.50,1256.25,1600000
18-Apr-2016,1259.88,1226.50,1276.75,1220.00,7120000
20-Apr-2016,1225.17,1267.45,1267.45,1220.00,6410000
21-Apr-2016,1212.20,1225.50,1233.70,1206.10,2530000
22-Apr-2016,1208.53,1209.50,1217.70,1202.10,1960000
25-Apr-2016,1225.62,1201.15,1228.53,1201.15,2270000
26-Apr-2016,1244.90,1224.50,1246.75,1221.00,2550000
27-Apr-2016,1255.55,1240.00,1257.30,1237.95,1850000
28-Apr-2016,1263.88,1250.65,1270.00,1249.05,4990000
29-Apr-2016,1267.75,1258.50,1271.00,1255.00,2370000
2-May-2016,1263.35,1264.50,1265.00,1250.00,1120000
3-May-2016,1239.05,1262.50,1265.00,1236.00,2150000
