date,open,high,low,close,volume
15-Jan-2018,540.95,546.4,534,539,735977
16-Jan-2018,539.9,543.65,529.05,534.8,854040
17-Jan-2018,534.5,554,525.25,551.3,1362333
18-Jan-2018,555.1,555.9,536.1,539.6,1022827
19-Jan-2018,549,575,545.1,569.35,8746829
22-Jan-2018,568.9,614.4,559.1,603.85,8470009
23-Jan-2018,604,652.8,604,643.7,11193528
24-Jan-2018,642,657.5,627.35,634.55,6779224
25-Jan-2018,601,617.5,600.2,607.45,7737568
29-Jan-2018,613,641.9,609,615.45,5943390
30-Jan-2018,617.95,635,607.65,629.95,5078317
31-Jan-2018,631,631,609.05,614.9,2622093
01-Feb-2018,616,626.95,603.5,619.1,1899153
02-Feb-2018,615.7,621,593.75,598.2,2013345
05-Feb-2018,588,609.25,566.85,605.2,2250781
06-Feb-2018,560.2,596.3,560.2,584.95,2001630
07-Feb-2018,595.05,606.3,586.6,590.6,1691090
08-Feb-2018,596.4,620.95,592.65,614.9,3077890
09-Feb-2018,609.8,613.75,600.7,606.95,1527841
12-Feb-2018,610.95,619.85,609,612.05,1115591
14-Feb-2018,616.75,618,604.45,606.85,935952
15-Feb-2018,610,615,600.05,601.55,916547
16-Feb-2018,606,617.7,602.85,606.9,2240692
19-Feb-2018,609.2,609.95,582.05,590.95,1302244
20-Feb-2018,592,592.3,570.3,572.45,1473471
21-Feb-2018,558,584.8,553.2,579.65,5859856
22-Feb-2018,581,629,576,619.75,14562000
23-Feb-2018,625,639.85,624.3,628.25,7309244
26-Feb-2018,630,633.75,619.8,628.8,2473373
27-Feb-2018,625.2,638.85,620.1,622.9,1832149
28-Feb-2018,619,645,619,630.05,6497436
01-Mar-2018,631,640,625.1,626.85,1682637
05-Mar-2018,625.35,632.55,618.45,623.3,1603339
06-Mar-2018,628.75,643.7,626,632.4,3343002
07-Mar-2018,635.9,635.9,602.3,604.25,2631553
08-Mar-2018,608,615.55,591,600.2,2739044
09-Mar-2018,602,610.9,594,595.15,2643286
12-Mar-2018,604,604,583.4,595.25,2071157
13-Mar-2018,588.2,610.35,582.3,603.8,3084553
14-Mar-2018,603.7,617,601.3,605.75,3153213
15-Mar-2018,606,612.9,595.8,600.5,1512731
16-Mar-2018,601,605.05,583.3,586.3,2941070
19-Mar-2018,587,590.5,575.25,579.1,1346682
20-Mar-2018,576,583.7,567.1,576.3,2434797
21-Mar-2018,583,589.45,577.75,580.15,1629463
22-Mar-2018,582.5,586.5,574.8,579.9,1430906
23-Mar-2018,570,573.65,561.1,571.2,1240877
26-Mar-2018,573.75,579.4,567.8,573.75,1176516
27-Mar-2018,579.4,606.95,576.9,603.55,4948590
28-Mar-2018,607.9,617.9,590.5,593.9,4669965
02-Apr-2018,599.9,605.8,588,598.5,1606413
03-Apr-2018,596.5,610.7,596.1,608.65,2441661
04-Apr-2018,612.4,614,595.75,598.3,1563949
05-Apr-2018,603.5,609.9,601.55,607.65,1016285
06-Apr-2018,608.5,613.55,604.5,608.75,1186650
09-Apr-2018,609.5,625.5,607.2,619.55,3090582
10-Apr-2018,624,627.4,617.05,618.1,1503198
11-Apr-2018,618,622.8,610.05,613,812582
12-Apr-2018,625.25,632.2,616.2,620.15,4539302
13-Apr-2018,624.9,628.95,618.45,625.4,1645667
16-Apr-2018,624.5,636.5,618.65,628.25,2543094
17-Apr-2018,630,633.95,622.5,626.25,1202362
18-Apr-2018,627,629.4,620.2,623.7,853008
19-Apr-2018,625,641,622.5,639.6,3086991
20-Apr-2018,640,645.35,631,637.55,2249783
23-Apr-2018,636,640.55,627,636,1530050
24-Apr-2018,640,663.75,640,650.65,6757880
25-Apr-2018,650.65,659.8,645.1,652.65,1980273
26-Apr-2018,655,666.25,654.8,663.5,2820936
27-Apr-2018,669,674,648,653.2,3756962
30-Apr-2018,660,677.9,656.3,667.6,2467770
02-May-2018,668,671.95,658.5,663.95,1318395
03-May-2018,655,655,622.05,627,3079024
04-May-2018,628.65,634.8,620.4,625.8,1343805
07-May-2018,629,632.4,612.65,625.6,1204227
08-May-2018,626.65,635,620.35,622.65,843247
09-May-2018,624,628.7,616,625.7,984177
10-May-2018,629.9,633.7,615.7,625.6,1523428
11-May-2018,628.9,640,619.1,630.35,1494800
14-May-2018,632.7,645,624.45,636.7,1826798
